Propagation time (micsec),ExcitationSignal,A0 Propagated signal (nm),A1 Propagated signal (nm),A2 Propagated signal (nm),A3 Propagated signal (nm),A4 Propagated signal (nm),S0 Propagated signal (nm),S1 Propagated signal (nm),S2 Propagated signal (nm),S3 Propagated signal (nm),Sum Propagated signal (nm)
0,0,"0,0000345123847265428","0,00000190022322678745","0,0000112820232451312","0,0000456493023825717","-0,00595181232580973","-0,0000823993997530058","-0,000038820187105415","0,0000555750378114183","0,000259034965043886","-0,00566507797623182"
"0,0375629178874615","-0,0000375457122299754","-0,00000582542076721921","-0,0000198714268334297","0,0000454037113601982","0,0000678294668282183","-0,00438139037863761","-0,000120450194880246","-0,0000293115731358748","0,000130442327907749","0,000250483728915509","-0,00406268975924271"
"0,075125835774923","-0,000127748118408023","-0,0000459098374073589","-0,0000406240800326086","0,0000770430345063758","0,0000830479307460789","-0,00241012919230583","-0,000146756596946231","-0,0000168839432085365","0,000193816496372891","0,000220930693341163","-0,00208546549493406"
"0,112688753662385","-0,000208818751605977","-0,0000818532112136192","-0,0000584370983344233","0,000103499532673589","0,0000903885874108114","-0,000218542562152071","-0,000158842823983338","-0,00000267304114584261","0,000242737317034096","0,000172645483221027","0,0000889221835102299"
"0,150251671549846","-0,000195150936686803","-0,000110141135134598","-0,0000715855970081603","0,00012241404486701","0,0000897237308052275","0,00199272347941767","-0,00015560235203877","0,0000119982282202499","0,000275312334051858","0,000109521395555615","0,0022643641287361"
"0,187814589437308","-6,04140178541425E-020","-0,000127968341812664","-0,0000787083309533436","0,00013198253045033","0,000081685388917483","0,00402124731816165","-0,000137397647982639","0,0000257415670324879","0,000290631557720534","0,0000367570768609194","0,00424397111839476"
"0,225377507324769","0,000438974051092265","-0,000133509937770735","-0,0000789486792071457","0,000131128184414843","0,0000675578385412778","0,00568134955472437","-0,000106020441631955","0,0000372336564350614","0,00028863824817473","-0,0000395799844866593","0,00584784843919379"
"0,262940425212231","0,00113630376262084","-0,000126102515751714","-0,0000720541993359356","0,000119615261699097","0,0000491051714974369","0,00682107944959853","-0,0000645171274695732","0,0000453431018852361","0,00026999031305871","-0,000113070806960918","0,00692938864822087"
"0,300503343099692","0,00204235653321935","-0,000106317704235039","-0,0000584234691198299","0,0000980929076094841","0,0000283552138725705","0,00733611721639687","-0,000016896344970878","0,0000492419068021778","0,000235940995269702","-0,000177497931128649","0,00738861279049641"
"0,338066260987154","0,00303800238026615","-0,0000759203513542394","-0,000039093431600115","0,0000680633675812623","0,00000736602917025509","0,00717932086222133","0,0000322534405331803","0,0000484905331638648","0,000188257216263784","-0,000227385136183217","0,00718135252979611"
"0,375629178874615","0,00394264934276109","-0,0000377139802233104","-0,0000156658458757573","0,0000317756632584635","-0,0000119970082945206","0,00636504395647057","0,0000782003853555207","0,0000430877736631187","0,000129181001410154","-0,000258475567141456","0,00632343637862278"
"0,413192096762076","0,00453586162368268","0,00000471350050912141","0,00000982275518476895","-0,00000794745180138487","-0,000028247289241066","0,00496782834390998","0,000116518939807367","0,0000334797319824887","0,0000614260411226314","-0,000268105127718366","0,00488948944375554"
"0,450755014649538","0,00459046568176624","0,0000473214981262575","0,0000350775331847199","-0,0000479353364939977","-0,0000404049304819746","0,0031155898522611","0,000143510823797578","0,0000205259363283314","-0,0000118101201469663","-0,000255437187083847","0,0030064380694912"
"0,488317932537","0,00391290282140717","0,0000859960095076802","0,0000577532043490413","-0,0000849292753613153","-0,0000480530984869408","0,000977918568373045","0,000156558053411407","0,00000542467098022948","-0,0000868455487170082","-0,00022153706927974","0,000842285514776399"
"0,525880850424461","0,00238494147498106","0,000116941673229707","0,0000756745199428641","-0,000115854179328377","-0,0000513186783013289","-0,00124943772635952","0,000154374973646684","-0,0000103963737988128","-0,000159554884635354","-0,00016927929933414","-0,00140884997493828"
"0,563443768311922","1,62688962744083E-018","0,000137049919182249","0,0000870485260498727","-0,000138078811593893","-0,0000507833200259044","-0,00336248874720328","0,000137135447578887","-0,0000254144536547832","-0,000225478341705216","-0,000103095811974567","-0,00354410559334664"
"0,601006686199384","-0,0031125655820304","0,000144207977493753","0,0000906476564216776","-0,000149641985930727","-0,0000473401610108147","-0,00516767711655068","0,000106462731887221","-0,000038158671559854","-0,000280016329464276","-0,00002858784570248","-0,00537010374441618"
"0,638569604086846","-0,00668073086177537","0,000137518258005911","0,000085944684455403","-0,000149425010654991","-0,0000420187459424345","-0,00649960507409814","0,0000652821409173969","-0,0000473553227945622","-0,000318713770023375","0,0000479633368588893","-0,00672040950327591"
"0,676132521974307","-0,010304096407767","0,000117405344139867","0,0000731845177787451","-0,000137255231788102","-0,0000358048311867524","-0,00723618933258233","0,0000175492660965402","-0,0000520572596837591","-0,000337621946176532","0,0001201426289911","-0,00747064684441123"
"0,713695439861769","-0,0134899126337503","0,0000855979495589982","0,000053383460704221","-0,000113931441506565","-0,0000294822332178459","-0,00730985528508282","-0,0000321218458518081","-0,0000517439640866538","-0,000333709102637768","0,000181954911612694","-0,00754990755050755"
